Zona;Tipo;Concepto
BOULEVARD DE ASIA;Origen;Boulevard
PLAYA BORA BORA;Origen;Playa
BOULEVARD DE ASIA;Origen;Boulevard 
PLAYA GALÁPAGOS - ALGARROBO;Origen;Playa
PLAYA BORA BORA;Destino;Playa
BOULEVARD DE ASIA;Destino;Boulevard
PLAYA KAPALA;Destino;Playa
PLAYA LOS FLAMENCOS;Destino;Playa
BOULEVARD DE ASIA;Destino;Playa
PLAYA COCOA;Destino;Playa
 BOULEVARD DE ASIA;Destino;Playa
MALA;Destino;Playa
PLAYA BLANCA;Destino;Playa
PLAYA CHOCALLA - REAL CLUB;Destino;Playa
PLAYA CAYMA;Destino;Playa
PLAYA CERRO AZUL;Destino;Playa
PLAYA MIRADOR DE ASIA;Destino;Playa
PLAYA ASIA DEL MAR;Destino;Playa
PLAYA CONDOMINIO PLAYA CORAL;Destino;Playa
PLAYA LAS BRISAS;Destino;Playa
PLAYA ASIA DEL GOLF;Destino;Playa
PLAYA PALABRITAS;Destino;Playa
PLAYA LAS ARENAS;Destino;Playa
PLAYA CHEPECONDE;Destino;Playa
PLAYA LA ISLA;Destino;Playa
PLAYA DEL GOLF;Destino;Playa
 PLAYA LA ISLA;Destino;Playa
PLAYA DEL SOL;Destino;Playa
PLAYA MALLORCA DE ASIA - COND. FORMENTERA;Destino;Playa
PLAYA BONITA;Destino;Playa
PLAYA LA CAPILLA;Destino;Playa
SAN ISIDRO BASADRE;Origen;Ciudad
MIRAFLORES LA MAR;Origen;Ciudad
SURCO ENCALADA;Origen;Ciudad
SURQUILLO BARRIO MEDICO;Origen;Ciudad
MIRAFLORES HUACA;Origen;Ciudad
PLAYA SAN ANTONIO - REGATAS;Destino;Playa
PLAYA PALILLO;Destino;Playa
