Movil,Cuota,Tipo
774.0,100.0,No
3996.0,100.0,No
3504.0,100.0,No
3659.0,100.0,No
4027.0,100.0,No
4087.0,100.0,No
7559.0,100.0,No
7045.0,100.0,No
7474.0,100.0,No
9120.0,100.0,No
9172.0,100.0,No
9461.0,100.0,No
1594.0,100.0,No
9245.0,100.0,No
3685.0,60.0,No
3788.0,60.0,No
4041.0,60.0,No
3746.0,60.0,No
9922.0,60.0,No
722.0,60.0,No
2736.0,60.0,No
9443.0,60.0,No
1718.0,60.0,No
3198.0,60.0,No
3883.0,60.0,No
2613.0,60.0,No
3504.0,350.0,Si
7474.0,350.0,Si
3788.0,350.0,Si
4027.0,350.0,Si
9172.0,350.0,Si
9245.0,350.0,Si
9461.0,350.0,Si
722.0,100.0,No
774.0,100.0,No
9443.0,100.0,No
7044.0,100.0,No
7045.0,100.0,No
7092.0,100.0,No
529.0,100.0,No
7559.0,100.0,No
9120.0,100.0,No
1594.0,100.0,No
2746.0,100.0,No
3685.0,100.0,No
3767.0,100.0,No
2736.0,100.0,No
2849.0,100.0,No
3198.0,100.0,No
